time,contents
['2017-11-14 08:34:41'],"['双十一买的', '感觉很便宜', '但是', '号就又开秒杀了', '而且是', '你这逗我们呢', '真的', '买的想清楚了']"
['2018-01-03 23:05:42'],"['不说差多少钱', '我挺郁闷的', '还没出', '天无理由退货', '京东就给降价了', '差', '天', '差评抚慰我下内心吧']"
['2019-04-10 18:55:21'],"['京东这也太', '了', '价格极其不稳定', '刚买了几天就掉价一百块', '真是什么也不想说了', '不过京东快递还是一如既往的快', '这一星是给快递的']"
['2018-12-12 21:40:00'],"['没过多久就降价了', '一降就降', '无语的', '以后不会再买', '东西也不咋滴']"
['2018-01-08 10:58:08'],"['用户体验', '买了这款手表用了不到', '个月', '黑屏', '遂联系售后', '目前已经维修十天多', '无语']"
['2019-01-28 12:42:57'],"['刚买完没几天就降了九十块', '客服还跟死人一样联系不上', '不得不给差评', '差评', '差评', '希望卖家能给个说法']"
['2018-04-11 16:43:20'],"['客服简直就是个纱币', '问个问题半天搞不明白', '啥都不懂当什么客服', '这老板还不炒了留着干啥', '草', '纱币']"
['2018-02-20 21:55:54'],"['配对需要很长时间', '和上一个差别很大', '计步也不能同步', '需要关机重启才能显示']"
['2018-04-25 09:07:13'],"['坑人', '广告照片是两个', '实际上就一个', '用了手表就没有了蓝牙', '太坑人了']"
['2018-10-27 12:14:19'],"['简陋的包装可以足够给差评', '人家华为官网有个箱子', '箱子里面还有气泡垫', '你家啥都没有', '就知道薄膜袋']"
['2019-07-09 09:44:17'],"['差评', '购买时已强调物品与发票同步邮寄', '但开具的发票与购买的物品在品项与金额上极其不符', '这种低级错误不应发生在京东这个购物平台', '跟客服沟通后还不诚肯承认自己的过错', '极差评']"
['2019-01-05 10:38:32'],"['用了不到一个月', '掉色严重', '没见过这么差的商品', '唉', '后悔']"
['2019-01-05 08:40:46'],"['垃圾的服务', '垃圾的客服', '一副脸都不要', '买了不到十天', '刚超出', '天价保就降价', '真']"
['2019-04-24 11:51:26'],"['京东就是个垃圾', '在你的拍拍平台上受骗', '一推二五六', '跟', '公司是一伙的']"
['2018-06-08 15:06:39'],"['电池真烂', '最后那', '电是虚的', '两下就关机了', '继续保持华为的高价低质量', '如果有其它选择', '绝对不买华为']"
['2017-11-15 10:40:12'],"['还有', '的电就自动关机', '充电开机也是从', '开始', '让我怀疑了广告中所说的京东的正品华为的品质']"
['2018-08-07 12:46:08'],"['微信不能推送', '问客服就给了一堆文字', '完了就拜拜了到现在也不能推送', '我以前用的', '都能推送', '我一个人就买了五块了', '送人的也有', '最后自己才用的因为我的', '还在', '结果没有达到期望值微信始终无法推送']"
