brand,p_name,sku_id,weight,local,control,inch,connect,communicate,materal,IPXX,xuhang,display,funy,severce,is_bluetooth_talk,people,function
瑞德罗曼,['瑞德罗曼W190'],['45646396341'],['250.00'],['其他'],[],[],[],[],['硅胶'],['生活防水'],['3'],['彩色触屏'],['5'],[],[],['男士'],[]
瑞德罗曼,['瑞德罗曼W40'],['46599033511'],['100.00'],[],[],[],[],[],['皮革'],['生活防水'],['3'],['彩色触屏'],['5'],[],[],['男士'],[]
华为（HUAWEI）,['华为原装荣耀手环3'],['27026831696'],['10.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
fitup,['fitupV08S'],['28571229225'],['35.00'],['中国大陆'],['多点触控'],['0.8-1.0'],['支持蓝牙'],['来电提醒'],['TPU'],['不防水'],['7'],['彩屏'],['跑步'],['一年质保'],['支持蓝牙通话'],['男士'],['消息提醒']
华为（HUAWEI）,['华为'],['54612434843'],['170.00'],[],[],[],[],[],['其他'],['50米及以上防水'],['8-15'],['彩色触屏'],['无'],[],[],['男士'],[]
华为（HUAWEI）,['华为'],['12696224536'],['22.00'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
华为（HUAWEI）,['华为'],['52816933470'],['150.00'],['中国大陆'],['全屏触控'],['0.8-1.0'],['支持蓝牙'],['无'],[],['50米防水'],[],['彩屏'],['跑步'],['一年质保'],[],['通用'],['消息提醒']
小米（MI）,['小米'],['30168337237'],['300.00'],['中国大陆'],[],[],[],[],[],[],[],[],[],[],[],[],[]
amazfit,['amazfit'],['47978831188'],['230.00'],['中国大陆'],[],[],[],[],['硅胶'],['50米防水'],['4-7'],['彩色触屏'],['10'],['一年质保'],[],['男士'],[]
全程通,['全程通全程通BY51'],['100007959258'],['160.00'],['中国大陆'],['单点触控'],['1.0-1.2'],['支持蓝牙'],['来电提醒'],['皮革'],['生活防水'],['7'],['彩屏'],['跑步'],['30天无忧退'],['支持蓝牙通话'],['男士'],['消息提醒']
瑞德罗曼,['瑞德罗曼W940'],['40477368036'],['1.0'],[],['全屏触控'],['1.2'],['支持蓝牙'],['来电提醒'],['硅胶'],['生活防水'],['7'],['彩屏'],['跑步'],[],['不支持蓝牙通话'],['通用'],['心率监测']
